;accuracy;precision;recall;f1_score;roc_auc;MAE;R2
Resampling SMOTE;0.9956549289399838;0.9631901840490797;0.9945701357466064;0.9786286731967943;0.9986150896921604;0.004345071060016294;0.9517330835588494
RF + SMOTE;0.9956549289399838;0.9631901840490797;0.9945701357466064;0.9786286731967943;0.9986150896921604;0.004345071060016294;0.9517330835588494
RF + class_weight;0.9956549289399838;0.9748427672955975;0.9819004524886877;0.9783588818755635;0.999296462468744;0.004345071060016294;0.9517330835588494
Baseline Random Forest;0.9954738843124831;0.9747974797479748;0.9800904977375565;0.9774368231046932;0.988637081498028;0.004526115687516973;0.9497219620404682
Resampling Original;0.9954738843124831;0.9747974797479748;0.9800904977375565;0.9774368231046932;0.9988511192973546;0.004526115687516973;0.9497219620404682
Resampling Random Oversampling;0.9953833619987327;0.9688612099644128;0.9855203619909503;0.9771197846567967;0.9986493153502988;0.004616638001267313;0.9487164012812775
XGBoost + SMOTE (Optimized);0.9948402281162306;0.9532871972318339;0.9972850678733032;0.9747899159663865;0.999313029143694;0.005159771883769349;0.9426830367261337
Resampling Random Undersampling;0.9897709785462117;0.9078947368421053;0.9990950226244344;0.951314088754847;0.9982190824428745;0.010229021453788359;0.8863716342114581
Baseline SVM;0.9842491174074409;0.9174887892376682;0.92579185520362;0.9216216216216216;0.9582690919550588;0.015750882592559065;0.8250324279008294
XGBoost + SMOTE;0.9777315108174165;0.8231753197893152;0.9900452488687783;0.8989317995069844;0.9981535894614102;0.022268489182583506;0.7526320532391036
Baseline Logistic Regression;0.9786367339549199;0.8876003568242641;0.9004524886877828;0.8939802336028752;0.9438894911755148;0.021363266045080112;0.76268766083101
XGBoost + scale_pos_weight;0.9732959174436498;0.790948275862069;0.9963800904977376;0.881858229875851;0.9982341471939967;0.02670408255635014;0.7033595760387625
SVM + class_weight;0.9719380827373948;0.7809187279151943;1.0;0.876984126984127;0.9976782078134628;0.02806191726260523;0.6882761646509029
